,Solvent,FileHandle,NC_K,SIGMA_K,TAU,Solvation_Energy,Total_Energy,No.,SoluteName,Formula,Subset,Charge,Level1,Level2,Level3,DeltaGsolv,type,eps,n,alpha,beta,gamma,phi**2,psi**2,beta**2,H,C,HC,CC,CC2,N,HN,HN2,CN,NC,NC2,NC3,O,HO,HO2,OC,CO2,ON,OO,F,Cl,Br,I,FC,ClC,BrC,IC,Si,OSi,P,HP,OP,S,HS,OS,SP,SS,TotalArea,error,error_ev,error_frac
10,water,0157flu,0.003,0.8666666666666667,0.001,-0.1399589999999904,-76.40726,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,2.4474545399997787,0.10613419514309533,-3.137762230768947
11,water,0157flu,0.003,1.2,0.00034,-0.8878430000000037,-77.155144,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,19.693659580000084,0.8540181951431086,-25.24828151282062
12,water,0157flu,0.003,0.2,0.001,0.06905799999999829,-76.198243,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,-2.3724774799999606,-0.10288280485689336,3.041637794871744
13,water,0157flu,0.004,0.8666666666666667,0.00034,-0.35095400000000154,-76.618255,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,7.3129992400000345,0.3171291951431065,-9.375640051282096
14,water,0157flu,0.003,0.2,1e-05,-0.09277999999999054,-76.360081,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,1.3595067999997814,0.058955195143095475,-1.7429574358971556
15,water,0157flu,0.001,0.8666666666666667,0.00067,0.004771000000005188,-76.26253,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,-0.8900192600001197,-0.03859580485690025,1.1410503333334867
16,water,0157flu,0.001,0.8666666666666667,0.00034,-0.059342000000000894,-76.326643,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,0.5884265200000205,0.025517195143105832,-0.7543929743590007
17,water,0157flu,0.001,0.5333333333333333,0.00067,0.04638200000000836,-76.220919,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,-1.8495689200001928,-0.08020680485690343,2.371242205128452
18,water,0157flu,0.004,1.2,0.00067,-1.395867999999993,-77.663169,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,31.408716079999834,1.362043195143098,-40.2675847179485
19,water,0157flu,0.002,0.8666666666666667,0.00067,-0.0922339999999906,-76.359535,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,1.346916039999783,0.05840919514309554,-1.7268154358971577
20,water,0157flu,0.001,0.8666666666666667,0.001,0.07308000000000447,-76.194221,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,-2.465224800000103,-0.10690480485689954,3.1605446153847474
21,water,0157flu,0.004,0.8666666666666667,0.001,-0.25364600000000337,-76.520947,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,5.069076760000077,0.2198211951431083,-6.498816358974458
22,water,0157flu,0.003,0.8666666666666667,1e-05,-0.29237899999999684,-76.55968,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,5.962259739999927,0.2585541951431018,-7.643922743589649
23,water,0157flu,0.001,0.5333333333333333,0.00034,-0.017242999999993458,-76.284544,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,-0.38237642000015093,-0.016581804856901604,0.49022617948737296
24,water,0157flu,0.003,0.8666666666666667,0.00067,-0.19191700000000367,-76.459218,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,3.645606020000084,0.1580921951431086,-4.67385387179498
25,water,0157flu,0.004,0.5333333333333333,0.00067,-0.08620200000000011,-76.353503,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,1.2078181200000024,0.05237719514310505,-1.5484847692307724
26,water,0157flu,0.002,0.8666666666666667,0.001,-0.03556600000000287,-76.302867,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,0.040151960000066156,0.0017411951431078113,-0.05147687179495661
27,water,0157flu,0.002,0.2,0.001,0.1020950000000056,-76.165206,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,-3.134310700000129,-0.13591980485690067,4.018347051282217
28,water,0157flu,0.004,0.5333333333333333,0.001,-0.03740599999999006,-76.304707,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,0.0825823599997707,0.0035811951430949965,-0.10587482051252654
29,water,0157flu,0.002,1.2,0.001,-0.3603039999999993,-76.627605,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,7.528610239999982,0.32647919514310425,-9.652064410256386
30,water,0157flu,0.001,1.2,0.00067,-0.11277699999999413,-76.380078,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,1.8206376199998646,0.07895219514309906,-2.334150794871621
31,water,0157flu,0.001,0.2,1e-05,-0.054403999999991015,-76.321705,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,0.4745562399997927,0.020579195143095953,-0.6084054358971701
32,water,0157flu,0.002,0.2,1e-05,-0.07527499999999065,-76.342576,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,0.9558414999997844,0.04145019514309559,-1.225437820512544
33,water,0157flu,0.004,0.2,0.001,0.04416100000000256,-76.22314,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,-1.798352660000059,-0.07798580485689763,2.305580333333409
34,water,0157flu,0.003,0.5333333333333333,0.001,0.005274000000000001,-76.262027,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,-0.90161844,-0.03909880485689506,1.155921076923077
35,water,0157flu,0.003,1.2,1e-05,-0.9382889999999975,-77.20559,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,20.85694433999994,0.9044641951431024,-26.739672230769155
36,water,0157flu,0.001,1.2,0.00034,-0.17809799999999143,-76.445399,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,3.3269398799998022,0.14427319514309636,-4.265307538461284
37,water,0157flu,0.002,0.5333333333333333,0.001,0.051471000000006484,-76.21583,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,-1.9669212600001496,-0.08529580485690155,2.5216939230771147
38,water,0157flu,0.002,0.2,0.00034,-0.022056999999989557,-76.289358,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,-0.2713655800002409,-0.011767804856905505,0.3479045897438986
39,water,0157flu,0.002,1.2,1e-05,-0.5277889999999985,-76.79509,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,11.390814339999965,0.49396419514310347,-14.603608128205083
40,water,0157flu,0.004,0.2,1e-05,-0.10897400000000346,-76.376275,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,1.7329404400000794,0.07514919514310839,-2.2217185128206145
41,water,0157flu,0.004,0.8666666666666667,0.00067,-0.302708999999993,-76.57001,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,6.200469539999839,0.26888419514309797,-7.9493199230767155
42,water,0157flu,0.003,0.2,0.00067,0.009776999999999703,-76.257524,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,-1.0054576199999932,-0.043601804856894764,1.289048230769222
43,water,0157flu,0.001,1.2,1e-05,-0.23861699999999075,-76.505918,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,4.722508019999786,0.20479219514309568,-6.054497461538187
44,water,0157flu,0.001,0.5333333333333333,1e-05,-0.07673799999999176,-76.344039,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,0.9895782799998099,0.042913195143096695,-1.2686901025638588
45,water,0157flu,0.003,1.2,0.00067,-0.8361099999999908,-77.103411,2240,fluorobenzene,H5C6F1,[a],0,5,2,0,-0.78,abs,78.36,1.3328,0.82,0.35,103.62,0.0,0.0,0.1225,63.896,61.31,43.258,82.369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.306,0.0,0.0,0.0,16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.511,18.500696599999785,0.8022851951430957,-23.71884179487152
